Kode;Date;RoA;Market Cap;RoE;Total Aset;Laba Bersih;Total Ekuitas;Sub Sektor
AMMN.JK;07/07/23;17.18;1.07263E+13;30.935;9.74844E+13;1.67478E+13;5.41387E+13;Basic Materials
CRSN.JK;10/07/23;17.76;75000000000;26.38;1.70091E+11;30209836389;1.14518E+11;Industrial Services
TGUK.JK;10/07/23;16.6;1.17857E+11;21.33;76163244322;12644646456;59281042925;Food & Beverage
GRPM.JK;10/07/23;4.51;37080000000;7.32;50208565995;2264537620;30936306284;Food & Beverage
WIDI.JK;10/07/23;6.05;40000000000;9.95;16705893953;1010755134;10158343055;Industrial Goods
INET.JK;24/07/23;1.88;1.515E+11;2.11;72983848409;1373758013;65107014834;Telecommunication
MAHA.JK;25/07/23;2.37;4.91588E+11;3.81;1.72866E+12;41026288000;1.07681E+12;Oil, Gas, & Coal
RMKO.JK;31/07/23;8.25;1.125E+11;16.37;2.31283E+11;19082536577;1.1657E+11;Oil, Gas, & Coal
CNMA.JK;02/08/23;7.464;2.25045E+12;19.02;6.75955E+12;5.04535E+11;2.65266E+12;Consumer Services
HBAT.JK;07/08/23;35.15;26000028000;38.38;39572798000;13908895000;36239955706;Properties & Real Estate
FOLK.JK;07/08/23;-0.493;57000000000;-0.52;76693950132;-378421337;72773334038;Multi Sector Holdings
ERAL.JK;08/08/23;13.31;4.04625E+11;10.09;1.38248E+12;1.8401E+11;1.82369E+12;Retailing
GRIA.JK;08/08/23;0.477;2.07E+11;2.276;3.93602E+11;1877122048;82474606678;Properties & Real Estate
CYBR.JK;08/08/23;0.54;1.00873E+11;-2.433;1.70026E+11;918217216;-37742412593;Software & IT Service
PPRI.JK;08/08/23;4.06;38500000000;5.48;72734333968;2952763855;53882552099;Basic Materials
MSIE.JK;10/08/23;73.18;36000000000;1.57;92611526650;67776417825;4.31697E+12;Properties & Real Estate
HUMI.JK;09/08/23;7.45;2.707E+11;11.567;3.21229E+12;2.39312E+11;2.06892E+12;Oil, Gas, & Coal
MUTU.JK;09/08/23;5.076;1.01829E+11;10.28;1.60689E+11;8156558559;79343954854;Industrial Services
LMAX.JK;09/08/23;9.12;39000000000;23.18;28335811674;2584340262;11149008896;Automobiles & Components
RSCH.JK;28/08/23;-0.65;60950000000;-0.67;96925615357;-625398563;93343069104;Healthcare Equipment & Providers
BABY.JK;07/09/23;7.86;1.42044E+11;15.28;7.60075E+11;59723309221;3.90859E+11;Retailing
AEGS.JK;11/09/23;2.37;40000000000;5.65;34799905817;825880117;14617347204;Automobiles & Components
IOTF.JK;06/10/23;0.96;1.1E+11;1.27;58698489543;560957670;44169895276;Technology Hardware
KOCI.JK;06/10/23;5.497;54000000000;8.167;77795553564;4276600935;52364404739;Properties & Real Estate
BREN.JK;09/10/23;1.95;3.1317E+12;2.7;7.23E+12;1.41E+11;5.22222E+12;Utilities
PTPS.JK;09/10/23;7.874;89100000000;11.1;76025046765;5985873425;53926787613;Food & Beverage
STRK.JK;10/10/23;27.62;1.18E+11;37.85;70588409490;19495325284;51506803921;Food & Beverage
KOKA.JK;11/10/23;11.08;91562624000;15.33;1.07174E+11;11871688903;77440893040;Heavy Constructions & Civil
LOPI.JK;11/10/23;1.332;30000000000;1.9;36753905768;489690621;25773190579;Logistics & Deliveries
UDNG.JK;31/10/23;-0.23;50000000000;-0.26;7205469247;-16531787;6358379615;Food & Beverage
MSTI.JK;08/11/23;17.105;6.37967E+11;32.45;2.33233E+12;3.98942E+11;1.22941E+12;Technology Hardware
RGAS.JK;08/11/23;13.309;40104000000;15.71;47149276099;6274932909;39942284589;Oil, Gas, & Coal
IKPM.JK;08/11/23;4.277;55593450000;9.38;3.87553E+11;16577500654;1.76732E+11;Phramaceuticals & Healthcare
AYAM.JK;30/11/23;4.76;80000000000;10.84;2.6184E+11;12459000000;1.14935E+11;Food & Beverage
SURI.JK;07/12/23;5.45;2.1537E+11;9.89;1.87796E+11;10226219024;1.034E+11;Healthcare Equipment & Providers
ASLI.JK;05/01/24;2.81;1.25E+11;3.11;3.82752E+11;10752978526;3.45755E+11;Heavy Constructions & Civil
CGAS.JK;08/01/24;2.458;1.79623E+11;6.065;1.88554E+11;4634084942;76407006463;Oil, Gas, & Coal
